,training_iterations,random_first_wins,random_second_wins,random_first_draws,random_second_draws,random_first_losses,random_second_losses,previous_first_wins,previous_second_wins,previous_first_draws,previous_second_draws,previous_first_losses,previous_second_losses
0,0,0.05,0.05,0.05,0.0,0.9,0.95,0.0,0.0,0.0,0.0,0.0,0.0
1,10000,0.35,0.35,0.0,0.1,0.65,0.55,0.95,0.8,0.0,0.1,0.05,0.1
2,20000,0.4,0.75,0.05,0.05,0.55,0.2,1.0,0.25,0.0,0.05,0.0,0.7
3,30000,0.8,0.8,0.0,0.0,0.2,0.2,1.0,1.0,0.0,0.0,0.0,0.0
4,40000,0.75,0.55,0.05,0.15,0.2,0.3,0.85,0.75,0.0,0.05,0.15,0.2
5,50000,0.85,0.5,0.0,0.05,0.15,0.45,0.2,0.3,0.15,0.45,0.65,0.25
6,60000,0.75,0.75,0.0,0.0,0.25,0.25,0.95,0.95,0.0,0.0,0.05,0.05
7,70000,0.9,0.8,0.0,0.05,0.1,0.15,0.8,0.2,0.0,0.0,0.2,0.8
8,80000,0.9,0.95,0.05,0.0,0.05,0.05,0.2,0.95,0.7,0.0,0.1,0.05
9,90000,0.85,0.95,0.05,0.0,0.1,0.05,0.95,0.9,0.0,0.0,0.05,0.1
10,100000,0.85,0.9,0.05,0.05,0.1,0.05,0.9,0.95,0.0,0.0,0.1,0.05
11,110000,0.9,0.95,0.0,0.0,0.1,0.05,0.25,1.0,0.0,0.0,0.75,0.0
12,120000,0.9,0.9,0.1,0.05,0.0,0.05,0.2,1.0,0.0,0.0,0.8,0.0
13,130000,0.95,0.85,0.0,0.0,0.05,0.15,0.85,0.95,0.0,0.0,0.15,0.05
14,140000,0.95,1.0,0.0,0.0,0.05,0.0,0.1,1.0,0.05,0.0,0.85,0.0
15,150000,0.9,1.0,0.0,0.0,0.1,0.0,0.8,1.0,0.05,0.0,0.15,0.0
16,160000,0.95,1.0,0.05,0.0,0.0,0.0,0.95,1.0,0.0,0.0,0.05,0.0
17,170000,0.95,1.0,0.0,0.0,0.05,0.0,0.95,0.9,0.0,0.0,0.05,0.1
18,180000,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.95,0.05,0.0,0.05,0.05
19,190000,0.95,1.0,0.0,0.0,0.05,0.0,0.95,0.95,0.0,0.0,0.05,0.05
20,200000,0.95,0.95,0.0,0.05,0.05,0.0,0.9,0.9,0.05,0.05,0.05,0.05
21,210000,0.9,0.9,0.0,0.0,0.1,0.1,0.0,0.9,0.1,0.0,0.9,0.1
22,220000,0.95,1.0,0.0,0.0,0.05,0.0,0.15,1.0,0.0,0.0,0.85,0.0
23,230000,0.85,0.95,0.1,0.05,0.05,0.0,0.85,1.0,0.1,0.0,0.05,0.0
24,240000,0.95,1.0,0.05,0.0,0.0,0.0,0.1,0.15,0.85,0.05,0.05,0.8
25,250000,0.95,0.95,0.0,0.05,0.05,0.0,0.95,0.1,0.05,0.9,0.0,0.0
26,260000,0.95,0.9,0.0,0.0,0.05,0.1,0.05,0.2,0.8,0.75,0.15,0.05
27,270000,1.0,0.95,0.0,0.05,0.0,0.0,0.0,0.1,1.0,0.85,0.0,0.05
28,280000,1.0,0.95,0.0,0.0,0.0,0.05,0.1,0.1,0.9,0.9,0.0,0.0
29,290000,0.95,1.0,0.0,0.0,0.05,0.0,0.15,0.0,0.75,1.0,0.1,0.0
30,300000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.95,0.9,0.05,0.05
31,310000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.05
32,320000,0.95,0.95,0.05,0.05,0.0,0.0,0.95,0.1,0.05,0.9,0.0,0.0
