,training_iterations,random_first_wins,random_second_wins,random_first_draws,random_second_draws,random_first_losses,random_second_losses,previous_first_wins,previous_second_wins,previous_first_draws,previous_second_draws,previous_first_losses,previous_second_losses
0,0,0.0,0.05,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
1,10000,0.4,0.15,0.0,0.0,0.6,0.85,1.0,0.1,0.0,0.0,0.0,0.9
2,20000,0.4,0.6,0.0,0.0,0.6,0.4,0.1,0.95,0.0,0.0,0.9,0.05
3,30000,0.65,0.6,0.0,0.0,0.35,0.4,1.0,0.2,0.0,0.0,0.0,0.8
4,40000,0.55,0.85,0.0,0.0,0.45,0.15,0.95,0.85,0.0,0.0,0.05,0.15
5,50000,0.5,0.75,0.0,0.0,0.5,0.25,1.0,0.1,0.0,0.0,0.0,0.9
6,60000,0.65,0.75,0.0,0.0,0.35,0.25,0.1,0.9,0.0,0.0,0.9,0.1
7,70000,0.7,0.7,0.0,0.0,0.3,0.3,0.95,0.2,0.0,0.0,0.05,0.8
8,80000,0.6,0.75,0.0,0.0,0.4,0.25,0.9,0.75,0.0,0.0,0.1,0.25
9,90000,0.75,0.95,0.0,0.0,0.25,0.05,0.25,0.95,0.0,0.0,0.75,0.05
10,100000,0.75,0.95,0.0,0.0,0.25,0.05,0.9,1.0,0.0,0.0,0.1,0.0
11,110000,0.95,1.0,0.0,0.0,0.05,0.0,1.0,0.1,0.0,0.0,0.0,0.9
12,120000,0.85,1.0,0.0,0.0,0.15,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13,130000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.85,0.0,0.0,0.0,0.15
14,140000,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.15,0.0,0.0,0.75,0.85
15,150000,0.9,1.0,0.0,0.0,0.1,0.0,0.95,0.9,0.0,0.0,0.05,0.1
16,160000,0.95,1.0,0.0,0.0,0.05,0.0,1.0,0.05,0.0,0.0,0.0,0.95
17,170000,0.95,1.0,0.0,0.0,0.05,0.0,1.0,0.85,0.0,0.0,0.0,0.15
18,180000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.05
19,190000,0.9,1.0,0.0,0.0,0.1,0.0,1.0,0.8,0.0,0.0,0.0,0.2
20,200000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.95,0.0,0.0,0.05,0.05
21,210000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.05
22,220000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.85,0.0,0.0,0.0,0.15
23,230000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
24,240000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.9
25,250000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,260000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
27,270000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.95,0.0,0.0,0.05,0.05
28,280000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
29,290000,1.0,1.0,0.0,0.0,0.0,0.0,0.95,1.0,0.0,0.0,0.05,0.0
30,300000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.95
31,310000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
32,320000,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.05
